userName;score;at;content;;
Robbi Eko;5;30/03/2023 14:37;sip... terima kasih 🙏;;
mimi cedar;5;30/03/2023 14:35;Bagaimana cara transfer sesama Gopay. Gopay saya tidak bisa lagi transfer sesama gopay...;;
Elisabeth Kiswati Ladiyo;5;30/03/2023 14:33;Aman,dan cepat. Sesuai dengan ekspektasi.👍🏼👍🏼;;
Jemmi Meliau ibanez;5;30/03/2023 14:23;. aplikasi yang cukup membantu;;
Boedi Arsih;5;30/03/2023 14:19;Cepet sampainya;;
Irsya chanel;5;30/03/2023 14:15;bagus;;
Sunar tiee;2;30/03/2023 13:55;Kalou di perdalam susah dapetnya;;
Irwan Sulaeman;5;30/03/2023 13:50;baik sekali;;
EKA WAHYU WIDIYANTO;1;30/03/2023 13:47;saya top up gopay dengan nomer akun saya yang benar tetapi kenapa bisa salah kirim ke orang lain ya? pdhl sudah bener mengasihkan nomer akunya;;
Petrus Widjijono;5;30/03/2023 13:38;baik;;
Thomas Gorga;1;30/03/2023 13:37;Akun hampir sebulan anyepin trus;;
waliya habibah;1;30/03/2023 13:35;Tolong ya admin di training lagi supir goride nya. Saya sudah mengalami kekecewaan dua kali, yang pertama supir tidak hati-hati di jalan macet dia nyalip tapi tidak pake perhitungan sampai kaki saya kebentur tiang telepon dan kenalpot motor orang lain di jalan. Dan yang kedua supir ngeyel padahal dia yg salah tapi tidak mau mengaku salah malah pergi tiba-tiba saat saya sedang bicara;;
Aisuryani Suryani;5;30/03/2023 13:22;Ok;;
Josh 1mmanuel;1;30/03/2023 13:12;Saya sudah komplain udh 2 hari blm di bales ini loading trs saya mau transaksi g bisa saya hapus dowload lg malah loading trs pas mau verif nomor internet bagus saya udh pake data jaringan wifi tp masih loading knp ya?? Trs email saya g di respon;;
lucia ambar;5;30/03/2023 12:59;Menu tarik tunai saya tidak ada. Mohon segera diperbaiki supaya muncul kembali. Terimakasih.;;
Puji anto Puji;5;30/03/2023 12:59;Bagus;;
Yanti Ibhu;5;30/03/2023 12:58;Gojek memang oke;;
Suharman Arman;1;30/03/2023 12:49;Gojekindonesia luh kasih kerjaan ke orang IT yang benar. Masa akun saya dibuat gagu seenaknya.;;
Invinix Hot;5;30/03/2023 12:47;D perbaiki lagi;;
Samira Laila Luthfiani;1;30/03/2023 12:39;2x tf ke bank lain pedning mulu gajelass mending perbaiki dulu deh sistemnya. sebell banget buang2 waktu;;
Hadisaputra chanel;5;30/03/2023 12:10;sangat membantu dan memudahkan segala tujuan... mantaap.. 😊😊😊;;
